Entity,Code,Year,Total_population
Afghanistan,AFG,2017,36296000
Africa,,2017,1244221952
Albania,ALB,2017,2884000
Algeria,DZA,2017,41389000
"American Samoa",ASM,2017,56000
Andorra,AND,2017,77000
Angola,AGO,2017,29817000
Anguilla,AIA,2017,15000
"Antigua and Barbuda",ATG,2017,95000
Argentina,ARG,2017,43937000
Armenia,ARM,2017,2945000
Aruba,ABW,2017,105000
Australia,AUS,2017,24585000
Austria,AUT,2017,8820000
Azerbaijan,AZE,2017,9845000
Bahamas,BHS,2017,382000
Bahrain,BHR,2017,1494000
Bangladesh,BGD,2017,159684992
Barbados,BRB,2017,286000
Belarus,BLR,2017,9450000
Belgium,BEL,2017,11420000
Belize,BLZ,2017,376000
Benin,BEN,2017,11175000
Bermuda,BMU,2017,63000
Bhutan,BTN,2017,746000
Bolivia,BOL,2017,11193000
"Bonaire Sint Eustatius and Saba",BES,2017,25000
"Bosnia and Herzegovina",BIH,2017,3352000
Botswana,BWA,2017,2205000
Brazil,BRA,2017,207834000
"British Virgin Islands",VGB,2017,30000
Brunei,BRN,2017,424000
Bulgaria,BGR,2017,7102000
"Burkina Faso",BFA,2017,19193000
Burundi,BDI,2017,10827000
Cambodia,KHM,2017,16009000
Cameroon,CMR,2017,24566000
Canada,CAN,2017,36732000
"Cape Verde",CPV,2017,537000
"Cayman Islands",CYM,2017,63000
"Central African Republic",CAF,2017,4596000
Chad,TCD,2017,15017000
"Channel Islands",OWID_CIS,2017,169000
Chile,CHL,2017,18470000
China,CHN,2017,1421021952
Colombia,COL,2017,48910000
Comoros,COM,2017,814000
Congo,COG,2017,5111000
"Cook Islands",COK,2017,18000
"Costa Rica",CRI,2017,4950000
"Cote d'Ivoire",CIV,2017,24437000
Croatia,HRV,2017,4183000
Cuba,CUB,2017,11339000
Curacao,CUW,2017,162000
Cyprus,CYP,2017,1180000
Czechia,CZE,2017,10641000
"Democratic Republic of Congo",COD,2017,81399000
Denmark,DNK,2017,5732000
Djibouti,DJI,2017,944000
Dominica,DMA,2017,71000
"Dominican Republic",DOM,2017,10513000
Ecuador,ECU,2017,16785000
Egypt,EGY,2017,96443000
"El Salvador",SLV,2017,6388000
"Equatorial Guinea",GNQ,2017,1262000
Eritrea,ERI,2017,3413000
Estonia,EST,2017,1319000
Eswatini,SWZ,2017,1125000
Ethiopia,ETH,2017,106400000
Europe,,2017,745414976
"Faeroe Islands",FRO,2017,48000
"Falkland Islands",FLK,2017,3000
Fiji,FJI,2017,877000
Finland,FIN,2017,5511000
France,FRA,2017,64843000
"French Guiana",GUF,2017,275000
"French Polynesia",PYF,2017,276000
Gabon,GAB,2017,2065000
Gambia,GMB,2017,2214000
Georgia,GEO,2017,4009000
Germany,DEU,2017,82658000
Ghana,GHA,2017,29121000
Gibraltar,GIB,2017,34000
Greece,GRC,2017,10569000
Greenland,GRL,2017,56000
Grenada,GRD,2017,111000
Guadeloupe,GLP,2017,400000
Guam,GUM,2017,164000
Guatemala,GTM,2017,16915000
Guinea,GIN,2017,12068000
Guinea-Bissau,GNB,2017,1828000
Guyana,GUY,2017,775000
Haiti,HTI,2017,10982000
Honduras,HND,2017,9429000
"Hong Kong",HKG,2017,7306000
Hungary,HUN,2017,9730000
Iceland,ISL,2017,334000
India,IND,2017,1338676992
Indonesia,IDN,2017,264651008
Iran,IRN,2017,80674000
Iraq,IRQ,2017,37553000
Ireland,IRL,2017,4753000
"Isle of Man",IMN,2017,84000
Israel,ISR,2017,8244000
Italy,ITA,2017,60674000
Jamaica,JAM,2017,2921000
Japan,JPN,2017,127503000
Jordan,JOR,2017,9786000
Kazakhstan,KAZ,2017,18080000
Kenya,KEN,2017,50221000
Kiribati,KIR,2017,114000
Kuwait,KWT,2017,4056000
